,date,title,language,country,url
0,20200304T211500Z,"Photos of empty shelves , long lines at grocery stores around the world reveal real panic as the spread of coronavirus intensifies",English,India,https://www.businessinsider.in/science/news/photos-of-empty-shelves-long-lines-at-grocery-stores-around-the-world-reveal-real-panic-as-the-spread-of-coronavirus-intensifies/articleshow/74483908.cms
1,20200324T131500Z,Twitter users share grocery store items no one is apparently buying,English,United States,https://www.foxnews.com/food-drink/twitter-users-grocery-store-foods-buying
2,20200323T150000Z,Here A Check - List Of Everything To Stock Up On To Survive The Coronavirus Lockdown,English,India,https://www.mensxp.com/special-features/features/74219-heres-a-check-list-of-everything-to-stock-up-on-to-survive-the-coronavirus-lockdown.html
3,20200328T010000Z,Nigeria is a failed country – Bimbo Akinsanya,English,Nigeria,https://www.vanguardngr.com/2020/03/nigeria-is-a-failed-country-bimbo-akinsanya/
4,20200329T014500Z,PPP divided over dual nationality of MPs,English,Pakistan,https://www.thenews.com.pk/print/636136-food-supply
5,20200304T014500Z,Companies pumping up production of hand sanitizer amid virus fears,English,United States,https://www.pix11.com/news/national-news/companies-pumping-up-production-of-hand-sanitizer-amid-virus-fears
6,20200212T181500Z,"Freshco Ontario : Get Cheerios for $1 February 13th – 19th * No Coupon Needed * | Canadian Freebies , Coupons , Deals , Bargains , Flyers , Contests Canada",English,Canada,https://smartcanucks.ca/freshco-ontario-get-cheerios-for-1-february-13th-19th-no-coupon-needed/
7,20200331T094500Z,Stop Mad Rush To Stock Up Food - Agric Minister Advises Ghanaians,English,Ghana,https://www.peacefmonline.com/pages/local/news/202003/404264.php
8,20200303T231500Z,Looking for hand sanitizer ? Good luck finding it,English,United States,https://www.wkbw.com/news/national/coronavirus/looking-for-hand-sanitizer-good-luck-finding-it
9,20200331T111500Z,Stop mad rush to stock up food - Agric Minister advises Ghanaians,English,Ghana,https://www.graphic.com.gh/news/general-news/stop-mad-rush-to-stock-up-food-agric-minister-advises-ghanaians.html
10,20200314T174500Z,How should you prepare for a lockdown ? ( Hint : It doesnt involve private islands or jets ) ,English,United States,https://www.naturalnews.com/2020-03-14-how-to-prepare-for-a-coronavirus-lockdown.html
11,20200324T171500Z,WATCH : Durban shoppers dash to stock up despite warnings against panic buying,English,South Africa,https://www.iol.co.za/mercury/news/watch-durban-shoppers-dash-to-stock-up-despite-warnings-against-panic-buying-45464222
12,20200309T154500Z,"Coronavirus Outbreak : Delhi Chief Minister Arvind Kejriwal Says , Strict Action Against Chemists Who Stock Up Sanitisers",English,India,https://www.ndtv.com/india-news/coronavirus-outbreak-delhi-chief-minister-arvind-kejriwal-says-strict-action-against-chemists-who-st-2192417
13,20200223T224500Z,25 Survival supplies youll need to stock up on before SHTF,English,United States,https://www.naturalnews.com/2020-02-23-25-survival-supplies-stock-up-before-shtf.html
14,20200304T003000Z,Looking for hand sanitizer ? Good luck finding it,English,United States,https://www.newschannel5.com/news/national/coronavirus/looking-for-hand-sanitizer-good-luck-finding-it
15,20200304T231500Z,Coronavirus : Latest updates on COVID - 19,English,Australia,https://www.news.com.au/world/latest-updates-on-the-coronavirus/live-coverage/f0e881b0901d0d9939538cd694fb379b
16,20200304T010000Z,Looking for hand sanitizer ? Good luck finding it,English,United States,https://www.10news.com/news/national/coronavirus/looking-for-hand-sanitizer-good-luck-finding-it
17,20200305T113000Z,Coronavirus Fears Are Roiling Global Equities Once Again,English,China,https://www.barrons.com/articles/coronavirus-fears-are-roiling-global-equities-once-again-51583403944
18,20200207T011500Z,35 nearly forgotten house cleaning tips from the past,English,United States,http://www.msn.com/en-nz/lifestyle/smart-living/35-nearly-forgotten-house-cleaning-tips-from-the-past/ss-BBZJher
19,20200328T201500Z,"COVID - 19 : Presidency NOT Paying N30 , 000 Relief Funds To Nigerians",English,Nigeria,https://www.informationng.com/2020/03/covid-19-presidency-not-paying-n30000-relief-funds-to-nigerians.html
20,20200218T110000Z,Watchdog tells united kingdom companies to spell out business impact of coronavirus,English,United States,https://www.msn.com/en-gb/money/news/watchdog-tells-uk-companies-to-spell-out-business-impact-of-coronavirus/ar-BB106Ogg
21,20200213T153000Z,Tesla seeks to tap into stock surge with $2 bln share sale,English,United States,https://article.wn.com/view/2020/02/13/Tesla_seeks_to_tap_into_stock_surge_with_2_bln_share_sale/
22,20200318T104500Z,The Smart Way To Stock Up | Rocket 105,English,United States,https://rocketerie.iheart.com/featured/mojo-and-ac/content/2020-03-18-the-smart-way-to-stock-up/
23,20200304T224500Z,"Photos of empty shelves , long lines at grocery stores around the world reveal real panic as the spread of coronavirus intensifies",English,United States,https://news.yahoo.com/photos-empty-shelves-long-lines-195953494.html
24,20200228T171500Z,"NFL Combine Day 1 Stock Report | Receivers , Quarterbacks and Tight Ends",English,United States,https://www.si.com/nfl/giants/draft/nfl-combine-day-1-stock-report-receivers-quarterbacks-and-tight-ends
25,20200304T141500Z,Looking for hand sanitizer ? Good luck finding it,English,United States,https://www.fox17online.com/stories/business/looking-for-hand-sanitizer-good-luck-finding-it
26,20200328T191500Z,"Nigeria : COVID - 19 - Presidency Denies Plans to Pay Nigerians N30 , 000",English,Nigeria,https://allafrica.com/stories/202003280238.html
27,20200226T161500Z,"No Frills Ontario : Armstrong Cheese Bars $3 . 22 After Coupon February 27th – March 4th | Canadian Freebies , Coupons , Deals , Bargains , Flyers , Contests Canada",English,Canada,https://smartcanucks.ca/no-frills-ontario-armstrong-cheese-bars-3-22-after-coupon-february-27th-march-4th/
28,20200222T080000Z,Hahndorf travel guide : Picturesque town steeped in history,English,Australia,https://www.news.com.au/travel/australian-holidays/south-australia/hahndorf-a-complete-guide-to-visiting-the-adelaide-hills/news-story/1c130a1c64bcc1dda39b12b9eb443cd6
29,20200208T071500Z,Panic Buying Hits Singapore After Virus Alert Raised,English,United States,https://www.ibtimes.com/panic-buying-hits-singapore-after-virus-alert-raised-2918250
30,20200325T194500Z,Mike Freeman 10 - Point Stance : Judging a Frantic NFL Offseason for Every Team,English,United States,https://bleacherreport.com/articles/2882602-mike-freemans-10-point-stance-judging-a-frantic-nfl-offseason-for-every-team
31,20200304T031500Z,Looking for hand sanitizer ? Good luck finding it,English,United States,https://www.turnto23.com/news/national/coronavirus/looking-for-hand-sanitizer-good-luck-finding-it
32,20200310T064500Z,"DTI quells public COVID - 19 fears : Dont panic , no need to stock up on food",English,Philippines,https://newsinfo.inquirer.net/1239254/dti-quells-publics-covid-19-fears-dont-panic-no-need-to-stock-up-on-food
33,20200303T151500Z,Costco seen gaining market share from stockpiling blitz,English,United States,https://seekingalpha.com/news/3548023-costco-seen-gaining-market-share-from-stockpiling-blitz
34,20200316T220000Z,Pensioners slam Woolie  elderly shopping hour  as PR stunt finding empty shelves and long queues,English,United Kingdom,https://www.dailymail.co.uk/news/article-8118853/Pensioners-slam-Woolies-elderly-shopping-hour-PR-stunt-finding-shelves-long-queues.html
35,20200401T160000Z,COVID - 19 : Kaduna relaxes 24 - hour curfew – Daily Trust,English,Nigeria,https://www.dailytrust.com.ng/covid-19-kaduna-relaxes-24-hour-curfew.html
36,20200208T063000Z,Panic buying hits Singapore after virus alert raised,English,United States,https://www.msn.com/en-us/news/world/panic-buying-hits-singapore-after-virus-alert-raised/ar-BBZMq00
37,20200325T160000Z,Coronavirus : Runtown To Donate N10million To Fans,English,Nigeria,https://www.informationng.com/2020/03/coronavirus-runtown-to-donate-n10million-to-fans.html
38,20200311T044500Z,US urges elderly to stock up on groceries as coronavirus surges,English,Pakistan,https://www.thenews.com.pk/print/627313-us-urges-elderly-to-stock-up-on-groceries-as-coronavirus-surges
39,20200212T131500Z,SoftBank profits nosedived 99 % last quarter . Here why its stock went up 12 %. ,English,India,https://www.businessinsider.in/finance/news/softbanks-profits-nosedived-99-last-quarter-heres-why-its-stock-went-up-12-/articleshow/74101333.cms
40,20200219T223000Z,PSO says  ample stock available as fuel shortage rumours trigger panic buying in Karachi,English,United States,https://www.msn.com/en-xl/news/other/pso-says-ample-stocks-available-as-fuel-shortage-rumours-trigger-panic-buying-in-karachi/ar-BB10aCQi
41,20200324T163000Z,"During pandemic , Costco designates special hours for shoppers 60 and older",English,United States,https://www.foxnews.com/food-drink/pandemic-costco-special-hours-shoppers
42,20200204T010000Z,"NIH doctor says 25 % of coronavirus cases in China are  very serious , requiring  intensive care  ",English,United States,http://freerepublic.com/focus/f-chat/3813357/posts
43,20200328T180000Z,"Coronavirus : Presidency denies plans to pay Nigerians N30 , 000",English,Nigeria,https://www.premiumtimesng.com/news/more-news/384539-coronavirus-presidency-denies-plans-to-pay-nigerians-n30000.html
44,20200219T154500Z,Shop Nordstrom Winter 2020 Sale on Clothing and Accessories,English,United States,https://www.elle.com/fashion/shopping/g30995685/nordstrom-winter-sale/
45,20200311T133000Z,Can You Freeze Milk ? Simple Tips For Storing Milk,English,United States,https://news.yahoo.com/freeze-milk-simple-tips-storing-130000906.html
46,20200303T164500Z,Stocks That Hit 52 - Week Highs On Tuesday,English,United States,https://www.benzinga.com/news/20/03/15468005/stocks-that-hit-52-week-highs-on-tuesday
47,20200315T181500Z,  This was the third store I checked for toilet paper : Scenes from a Loblaws during the coronavirus pandemic,English,Canada,https://torontolife.com/food/this-was-the-third-store-i-checked-for-toilet-paper-scenes-from-a-loblaws-during-the-coronavirus-pandemic/
48,20200211T194500Z,"Author : Writer RS | Canadian Freebies , Coupons , Deals , Bargains , Flyers , Contests Canada",English,Canada,https://smartcanucks.ca/author/riddhi/
49,20200309T203000Z,PHOTOS : Empty store shelves seen across Houston area amid coronavirus concerns,English,United States,https://www.click2houston.com/health/2020/03/09/photos-empty-store-shelves-seen-across-houston-area-amid-coronavirus-concerns/
50,20200304T030000Z,Hand sanitizer shortage : Grocery chain slaps limits on products as virus outbreak grows,English,United States,https://www.witn.com/content/news/Grocery-chain-slaps-limits-on-products-as-virus-outbreak-grows-568455411.html
51,20200310T124500Z,CDC Tells People Aged 60 & Older to Stock Up & Avoid Outings,English,United States,https://1003thepeak.iheart.com/featured/jackie-tony-and-donnie/content/2020-03-10-cdc-tells-people-aged-60-older-to-stock-up-avoid-outings/
52,20200227T073000Z,Coronavirus Might Cause Diet Coke & Coke Zero Shortage,English,United States,https://kost1035.iheart.com/featured/karen-sharp/content/2020-02-26-coronavirus-might-cause-diet-coke-coke-zero-shortage/
53,20200215T114500Z,Can You Freeze Butter ? ,English,United States,https://www.rd.com/food/can-you-freeze-butter/
54,20200203T200000Z,Valley libraries closed Presidents Day weekend for server migration,English,United States,https://www.newsleader.com/story/news/2020/02/03/valley-libraries-closed-presidents-day-weekend-server-migration/4644292002/
55,20200213T231500Z,The Chit - Chat Thread - General Discussion Forum,English,Japan,http://www.nintendolife.com/forums/general_discussion/the_chit_chat_thread?start=39720
56,20200320T204500Z,"Pot stocks jump on hopes for COVID - 19 buying , higher January sales",English,United States,https://news.yahoo.com/pot-stocks-jump-on-hopes-for-covid-19-buying-higher-january-sales-201626126.html
57,20200219T000000Z,Shop Nordstrom Winter 2020 Sale on Clothing and Accessories,English,United States,https://www.marieclaire.com/fashion/g30980860/nordstrom-winter-sale/
58,20200316T161500Z,"Ashley Benson , Cara Delevingne & Kaia Gerber Stock Up On Groceries Together for Quarantine !: Photo 4449631 | Ashley Benson , Cara Delevingne , Kaia Gerber , Tommy Dorfman Pictures",English,United States,http://www.justjared.com/photo-gallery/4449631/ashley-benson-cara-delevingne-kaia-gerber-stock-up-on-groceries-together-for-quarantine-03/
59,20200316T161500Z,"Ashley Benson , Cara Delevingne & Kaia Gerber Stock Up On Groceries Together for Quarantine !: Photo 4449633 | Ashley Benson , Cara Delevingne , Kaia Gerber , Tommy Dorfman Pictures",English,United States,http://www.justjared.com/photo-gallery/4449633/ashley-benson-cara-delevingne-kaia-gerber-stock-up-on-groceries-together-for-quarantine-05/
60,20200316T161500Z,"Ashley Benson , Cara Delevingne & Kaia Gerber Stock Up On Groceries Together for Quarantine !: Photo 4449629 | Ashley Benson , Cara Delevingne , Kaia Gerber , Tommy Dorfman Pictures",English,United States,http://www.justjared.com/photo-gallery/4449629/ashley-benson-cara-delevingne-kaia-gerber-stock-up-on-groceries-together-for-quarantine-01/
